,,,,,,
,,,,,,
,Generic Interest,Sub custom Interest,Type of source,Link ,Output Network combination  ,Score
Ire Network,Hobbies,Music,Article ,https://thesource.com/2020/05/13/today-in-hip-hop-history-de-la-soul-released-their-second-lp-de-la-soul-is-dead-29-years-ago/,Irie,3
Ire Network,Food,African ,Video,https://www.youtube.com/watch?v=KrMU3pjevv8,Irie,5
Ire Network,Food,African ,Video,https://www.youtube.com/watch?v=KrMU3pjevv8,Irie,4
Ire Network,Fitness,Rowing ,Video,https://www.youtube.com/watch?v=zQ82RYIFLN8,Irie,5
Ire Network,Health,Nutrition,Instagram,https://www.instagram.com/p/B_z1DFGnCyA/,Irie,4
Ire Network,Fitness,Running,Instagram,https://www.instagram.com/p/B_oscisHTfO/,Irie,3
Ire Network,Beauty ,Make up ,Article ,https://www.bobbibrown.co.uk/foundation-finder,Irie,4
Ire Network,Beauty ,Make up ,Video,https://www.fentybeauty.com/featured,Irie,4
Ire Network,Drink,African ,Article ,https://www.tasteatlas.com/most-popular-non-alcoholic-beverages-in-africa,Irie,5
Ire Network,Food,African ,Article ,https://www.tasteatlas.com/kokonte,Irie,5
Ire Network,Fashion,Off White,Website,https://www.off---white.com/en-gb/shopping/off-white-leaves-l-s-top-15284851,Irie,5
Ire Network,Fashion,Off White,Website,https://www.off---white.com/en-gb/shopping/off-white-leaves-romantic-dress-15284688,Irie,5
Ire Network,Fashion,Virgil Abloh,Instagram,https://www.instagram.com/p/B_w48snp2F2/,Irie,5
Ire Network,Fashion,Virgil Abloh,Instagram,https://www.instagram.com/p/B_aH9z8pU2d/,Irie,5
Ire Network,Travel,Europe,Article ,https://www.wanderlust.co.uk/content/wish-i-was-there-wanderlust-reader-dream-destinations/,Irie,3
Ire Network,Style ,Prints,Article ,https://www.libertylondon.com/uk/features/design-and-living/a-legacy-reinvented.html,Irie,2
